,district,prostitution,cartheft,total
0,BAYVIEW,6,981,987
1,CENTRAL,44,549,593
2,INGLESIDE,4,1366,1370
3,MISSION,66,1195,1261
4,NORTHERN,42,942,984
5,PARK,1,639,640
6,RICHMOND,9,561,570
7,SOUTHERN,96,793,889
8,TARAVAL,78,786,864
9,TENDERLOIN,23,112,135
